id,K1,K2,K3,K4,K5
99_1,0.99996,0.00001,0.00001,0.00001,0.00001
99_2,0.99996,0.00001,0.00001,0.00001,0.00001
99_4,0.98185,0.00001,0.00001,0.00001,0.01812
98_1,0.99996,0.00001,0.00001,0.00001,0.00001
98_2,0.99996,0.00001,0.00001,0.00001,0.00001
98_4,0.99996,0.00001,0.00001,0.00001,0.00001
98_3,0.99996,0.00001,0.00001,0.00001,0.00001
98_5,0.99996,0.00001,0.00001,0.00001,0.00001
97_2,0.99106,0.00001,0.00001,0.00001,0.00890
97_1,0.91034,0.00001,0.00001,0.00001,0.08964
97_4,0.93982,0.00001,0.00001,0.00001,0.06015
97_3,0.89624,0.00001,0.00001,0.00001,0.10373
96_1,0.96642,0.00001,0.00001,0.00001,0.03355
96_2,0.95013,0.00001,0.00001,0.00001,0.04984
96_3,0.97296,0.00001,0.00001,0.00001,0.02701
96_4,0.96271,0.00001,0.00001,0.00001,0.03726
95_1,0.97385,0.00001,0.00001,0.00001,0.02612
95_2,0.99996,0.00001,0.00001,0.00001,0.00001
95_4,0.98962,0.00001,0.00001,0.00001,0.01035
95_3,0.98970,0.00001,0.00001,0.00001,0.01027
94_1,0.99996,0.00001,0.00001,0.00001,0.00001
94_2,0.96641,0.00001,0.00001,0.00001,0.03356
94_4,0.97341,0.00001,0.00001,0.00001,0.02656
94_3,0.99462,0.00001,0.00001,0.00001,0.00535
93_2,0.99996,0.00001,0.00001,0.00001,0.00001
93_3,0.99996,0.00001,0.00001,0.00001,0.00001
93_4,0.99996,0.00001,0.00001,0.00001,0.00001
92_1,0.99996,0.00001,0.00001,0.00001,0.00001
92_5,0.99996,0.00001,0.00001,0.00001,0.00001
92_2,0.97483,0.01277,0.00001,0.00001,0.01238
92_3,0.99996,0.00001,0.00001,0.00001,0.00001
92_4,0.99996,0.00001,0.00001,0.00001,0.00001
91_1,0.99996,0.00001,0.00001,0.00001,0.00001
91_2,0.99209,0.00001,0.00001,0.00001,0.00788
91_3,0.99006,0.00001,0.00001,0.00001,0.00992
91_4,0.99996,0.00001,0.00001,0.00001,0.00001
90_1,0.99996,0.00001,0.00001,0.00001,0.00001
90_2,0.99996,0.00001,0.00001,0.00001,0.00001
90_3,0.99996,0.00001,0.00001,0.00001,0.00001
9_1,0.96351,0.02742,0.00001,0.00001,0.00905
9_2,0.99996,0.00001,0.00001,0.00001,0.00001
9_4,0.99996,0.00001,0.00001,0.00001,0.00001
9_3,0.99996,0.00001,0.00001,0.00001,0.00001
9_6,0.99996,0.00001,0.00001,0.00001,0.00001
9_5,0.99996,0.00001,0.00001,0.00001,0.00001
89_1,0.99946,0.00001,0.00051,0.00001,0.00001
89_2,0.97252,0.00001,0.00043,0.00001,0.02703
89_4,0.98774,0.00001,0.00001,0.00045,0.01179
89_3,0.99544,0.00001,0.00453,0.00001,0.00001
88_2,0.99841,0.00001,0.00156,0.00001,0.00001
88_3,0.98691,0.00001,0.00001,0.00001,0.01306
87_2,0.99996,0.00001,0.00001,0.00001,0.00001
87_1,0.86206,0.00001,0.00001,0.00001,0.13791
87_4,0.99228,0.00001,0.00001,0.00001,0.00769
87_3,0.90446,0.00001,0.00001,0.00001,0.09551
86_6,0.99996,0.00001,0.00001,0.00001,0.00001
86_5,0.97329,0.00001,0.00001,0.00001,0.02668
86_1,0.98224,0.00001,0.00001,0.00001,0.01773
86_2,0.86862,0.00001,0.00001,0.00001,0.13135
86_4,0.93227,0.00001,0.00001,0.00001,0.06770
86_3,0.95007,0.00001,0.00001,0.00001,0.04990
85_1,0.99996,0.00001,0.00001,0.00001,0.00001
85_2,0.99996,0.00001,0.00001,0.00001,0.00001
85_4,0.99996,0.00001,0.00001,0.00001,0.00001
85_3,0.99996,0.00001,0.00001,0.00001,0.00001
84_2,0.95172,0.00001,0.00001,0.00001,0.04825
